post_id,t0_first_corrective_utc,window_hours,high_di_thresh,n_before,n_after,mean_di_before,mean_di_after,max_di_before,max_di_after,high_di_rate_before,high_di_rate_after,delta_mean_di,delta_high_di_rate,nwin_enabled,nwin_N,nwin_n_before,nwin_n_after,nwin_mean_di_before,nwin_mean_di_after,nwin_max_di_before,nwin_max_di_after,nwin_high_di_rate_before,nwin_high_di_rate_after,nwin_delta_mean_di,nwin_delta_high_di_rate
36f99c0c-26ec-4ddd-9902-756636e7c61f,2026-01-31 09:11:49.834115+00:00,12,3,0,16,,0.0,,0.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
e5604fe6-e038-410f-b0ce-eccb51181203,2026-01-31 09:36:33.951184+00:00,12,3,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ca68432-8509-4229-b211-ce4779d81354,2026-01-31 09:12:52.763368+00:00,12,3,12,36,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc581741-21be-477d-94dd-610b37aad86d,2026-01-31 09:12:39.399052+00:00,12,3,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abbc3ed7-8683-4783-91fa-c51b7eaeece9,2026-01-31 09:31:13.576949+00:00,12,3,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2f117435-8b66-4675-9268-d12d9fbd89ac,2026-01-31 09:14:37.195097+00:00,12,3,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2a3bfad0-f50d-4d1c-94d0-d8879873bc40,2026-01-31 09:10:44.732328+00:00,12,3,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6eb4b707-1bfe-4e21-a9ae-81dd9872e642,2026-01-31 09:11:07.948010+00:00,12,3,0,8,,0.0,,0.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
1fc25bd5-7945-44be-8e68-64f45e34c2e6,2026-01-31 09:10:33.940219+00:00,12,3,0,8,,0.0,,0.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
03050946-5f78-4085-941e-f1240df89e07,2026-01-31 09:19:22.952409+00:00,12,3,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5d9cbc29-5988-4707-87b4-1048e312847a,2026-01-31 08:58:47.904821+00:00,12,3,4,0,0.0,,0.0,,0.0,,,,1,5,4,0,0.0,,0.0,,0.0,,,
7adb4cf6-c356-4c25-9e37-a940aef40b70,2026-01-31 08:55:43.404166+00:00,12,3,8,12,0.25,0.16666666666666666,1.0,1.0,0.0,0.0,-0.08333333333333334,0.0,1,5,5,5,0.4,0.4,1.0,1.0,0.0,0.0,0.0,0.0
a9a6c8d5-9403-4ec0-a0a9-bb1c8cfae9af,2026-01-31 08:55:45.417225+00:00,12,3,12,46,0.0,0.13043478260869565,0.0,1.0,0.0,0.0,0.13043478260869565,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91f90127-295e-48a7-974e-1467bc0461bf,2026-01-31 08:54:49.008282+00:00,12,3,6,0,0.0,,0.0,,0.0,,,,1,5,5,0,0.0,,0.0,,0.0,,,
1ff9431a-8afe-450b-bfaf-506783c8ba3e,2026-01-31 08:53:30.998125+00:00,12,3,0,2,,0.0,,0.0,,0.0,,,1,5,0,2,,0.0,,0.0,,0.0,,
99586de0-41bb-4175-80d0-f138cad07c15,2026-01-31 08:54:39.393908+00:00,12,3,4,44,0.0,0.045454545454545456,0.0,1.0,0.0,0.0,0.045454545454545456,0.0,1,5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c870b208-c6b7-4cba-9860-f55bee8c6fe9,2026-01-31 08:55:23.887831+00:00,12,3,4,38,0.5,0.0,1.0,0.0,0.0,0.0,-0.5,0.0,1,5,4,5,0.5,0.0,1.0,0.0,0.0,0.0,-0.5,0.0
5c42d151-c851-4404-861a-c9c0c1fa033f,2026-01-31 08:53:16.654441+00:00,12,3,4,8,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.0,1,5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e7de1959-72da-4097-b146-59142c76b6bc,2026-01-31 08:55:01.767728+00:00,12,3,16,2,0.125,0.0,1.0,0.0,0.0,0.0,-0.125,0.0,1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5329b265-e214-47c3-aec2-f64605acea30,2026-01-31 08:51:59.066618+00:00,12,3,8,48,0.0,0.08333333333333333,0.0,1.0,0.0,0.0,0.08333333333333333,0.0,1,5,5,5,0.0,0.8,0.0,1.0,0.0,0.0,0.8,0.0
db6e2d14-440a-48ef-8b61-e0285105e225,2026-01-31 08:50:56.583028+00:00,12,3,2,32,0.0,0.4375,0.0,2.0,0.0,0.0,0.4375,0.0,1,5,2,5,0.0,0.8,0.0,2.0,0.0,0.0,0.8,0.0
457d6179-f893-4664-a717-9bd4d98402d4,2026-01-31 08:51:47.546455+00:00,12,3,8,8,0.25,0.0,1.0,0.0,0.0,0.0,-0.25,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21e55d11-52c2-4422-9baf-dbdef88b76ca,2026-01-31 08:49:29.961529+00:00,12,3,0,28,,0.07142857142857142,,1.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
93570192-3a09-4007-b283-264e73da9685,2026-01-31 08:51:16.569709+00:00,12,3,6,16,0.0,0.375,0.0,1.0,0.0,0.0,0.375,0.0,1,5,5,5,0.0,0.6,0.0,1.0,0.0,0.0,0.6,0.0
aa415937-1c59-4d55-ab14-e9b06b7f874e,2026-01-31 08:53:45.264284+00:00,12,3,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50043e01-2046-4b39-bd9f-bbd8f39ed7e8,2026-01-31 08:57:38.602845+00:00,12,3,12,0,0.16666666666666666,,1.0,,0.0,,,,1,5,5,0,0.2,,1.0,,0.0,,,
7222d898-bdeb-4644-a6a8-5612e2011d2e,2026-01-31 09:59:31.195196+00:00,12,3,20,2,0.7,1.0,2.0,1.0,0.0,0.0,0.30000000000000004,0.0,1,5,5,2,1.2,1.0,2.0,1.0,0.0,0.0,-0.19999999999999996,0.0
41087a11-12b5-4d94-aea5-fffac0d9870c,2026-01-31 08:54:40.430525+00:00,12,3,8,0,0.5,,1.0,,0.0,,,,1,5,5,0,0.6,,1.0,,0.0,,,
bea4d2d3-7ff1-4967-b929-41a79a3693d6,2026-01-31 08:51:59.373699+00:00,12,3,12,6,0.3333333333333333,0.0,2.0,0.0,0.0,0.0,-0.3333333333333333,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478281f2-7c2c-450b-8e12-6bc9b474f664,2026-01-31 08:48:57.234130+00:00,12,3,6,30,0.0,0.13333333333333333,0.0,2.0,0.0,0.0,0.13333333333333333,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82f8458e-f42b-435f-bec0-ee327931c2f2,2026-01-31 08:59:25.294239+00:00,12,3,18,0,0.3333333333333333,,1.0,,0.0,,,,1,5,5,0,0.2,,1.0,,0.0,,,
07b9d727-99c6-44a1-9b40-5773157d5d05,2026-01-31 08:55:25.164788+00:00,12,3,14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
